Produit,Gluten,Lupin,Soja,Lait,Oeufs,Celeri,Fruits_a_coque,Arachides,Sesame,Moutarde,Poissons,Mollusques,Crustaces,Sulfites
KING NUGGETS,Présent,Absent,Traces,Traces,Présent,Présent,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent
POULET PREMIUM,Présent,Absent,Traces,Traces,Traces,Traces,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Traces
DONUT AU CHEDDAR,Présent,Absent,Absent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
PATTY EMMENTAL,Présent,Absent,Traces,Présent,Traces,Traces,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent
PANE VEGETAL,Présent,Absent,Absent,Traces,Absent,Présent,Traces,Absent,Traces,Traces,Absent,Absent,Absent,Absent
HACHE VEGETAL,Présent,Absent,Présent,Traces,Absent,Traces,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent
PORTION PANEE DE HOKI / COLIN,Absent,Absent,Absent,Traces,Absent,Absent,Traces,Absent,Absent,Traces,Présent,Absent,Absent,Absent
CANTAL AOP,Traces,Absent,Absent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
FOURME D'AMBERT AOP,Traces,Absent,Absent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
MAROILLES AOP / MUNSTER AOP,Traces,Absent,Absent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
RACLETTE FUMEE,Traces,Absent,Absent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
TRANCHE DE FROMAGE FONDU AU CHEDDAR,Traces,Absent,Absent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
SAUCE BARBECUE,Traces,Absent,Absent,Traces,Absent,Absent,Traces,Absent,Absent,Présent,Absent,Absent,Absent,Absent
SAUCE BIG KING,Présent,Absent,Absent,Traces,Présent,Absent,Traces,Absent,Absent,Présent,Absent,Absent,Absent,Absent
SAUCE CAJUN,Traces,Absent,Absent,Présent,Présent,Absent,Traces,Absent,Absent,Présent,Absent,Absent,Absent,Absent
SAUCE AU MAROILLES / SAUCE AU MUNSTER,Traces,Absent,Absent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
KETCHUP,Traces,Absent,Absent,Traces,Absent,Présent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
MAYONNAISE,Traces,Absent,Absent,Traces,Présent,Absent,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent
MOUTARDE,Traces,Absent,Absent,Traces,Absent,Absent,Traces,Absent,Absent,Présent,Absent,Absent,Absent,Absent
CORNICHONS,Traces,Absent,Absent,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
CROUSTY EMMENTAL,Présent,Absent,Traces,Présent,Traces,Traces,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent
ONION RINGS,Présent,Absent,Traces,Traces,Traces,Traces,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Traces
OIGNONS CRISPY,Absent,Absent,Absent,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
OIGNONS RISSOLÉS,Traces,Absent,Absent,Traces,Absent,Présent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
OIGNONS / TOMATES / SALADE ICEBERG / ROQUETTE,Traces,Absent,Absent,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
PIMENTS VERTS JALAPENOS,Traces,Absent,Absent,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
TOMATES MI-SÉCHÉES,Traces,Absent,Absent,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent

BK CROUSTY,Présent,Absent,Traces,Présent,Présent,Traces,Traces,Absent,Absent,Présent,Absent,Absent,Absent,Absent
BK CROUSTY SUCRE,Présent,Absent,Présent,Présent,Absent,Absent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent
KING FRIES CH'TI,Traces,Absent,Absent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
GAUFRETTES FRIES BY MARIANNE,Présent,Absent,Absent,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
KRISPPER TENDERS,Présent,Absent,Traces,Traces,Traces,Traces,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent
KING FRIES SAUCE AU MUNSTER & BACON,Traces,Absent,Absent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
KING FRIES DOUBLE CHEDDAR,Traces,Absent,Absent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
CHILI CHEESE NUGGETS,Présent,Absent,Absent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
CROUSTY EMMENTAL,Présent,Absent,Traces,Présent,Traces,Traces,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent
FRITES,Traces,Absent,Absent,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
KING NUGGETS / KINGBOX NUGGETS X20,Présent,Absent,Traces,Traces,Présent,Présent,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent
KING FRIES CHEDDAR & ONIONS,Présent,Absent,Absent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
KING FRIES CHEDDAR / KING FRIES DOUBLE CHEDDAR,Traces,Absent,Absent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
KING FRIES CHEDDAR & BACON,Traces,Absent,Absent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
